Syntax version=4
Tue Nov 14 16:00:20 2017
Starting process (1623603 clocks per sec)

LogRawData=false
VarHeader=1
D:		US_Lens1_ActualA	US_Lens1_ActualV	US_Lens1_SetpointV	US_Lens2_ActualA	US_Lens2_ActualV	US_Lens2_SetpointV	US_Lens3_ActualA	US_Lens3_ActualV	US_Lens3_SetpointV	US_Lens4_ActualA	US_Lens4_ActualV	US_Lens4_SetpointV	US_Lens5_ActualA	US_Lens5_ActualV	US_Lens5_SetpointV	US_Lens6_ActualA	US_Lens6_ActualV	US_Lens6_SetpointV	US_Prefilt_ActualA	US_Prefilt_ActualV	US_Prefilt_SetpointV
D:	time(ms)	(0x20012cdc,6)	(0x20012cc0,6)	(0x20012ca4,5)	(0x20012ce0,6)	(0x20012cc4,6)	(0x20012ca8,5)	(0x20012ce4,6)	(0x20012cc8,6)	(0x20012cac,5)	(0x20012ce8,6)	(0x20012ccc,6)	(0x20012cb0,5)	(0x20012cec,6)	(0x20012cd0,6)	(0x20012cb4,5)	(0x20012cf0,6)	(0x20012cd4,6)	(0x20012cb8,5)	(0x20012cf4,6)	(0x20012cd8,6)	(0x20012cbc,5)
D:	0.28	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.861889	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	8.82	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.861889	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	16.78	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	24.80	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	32.88	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	40.82	-55.555580	-70.609344	-65	4.273653	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	48.78	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	56.79	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	64.92	-56.776524	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	72.83	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.129494	-71	0.610590	62.938591	58	0.610590	83.572929	77	0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	80.80	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.129494	-71	0.610590	62.938591	58	0.610590	83.572929	77	0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	88.84	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.129494	-71	-0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	96.83	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.861889	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.383751	-38
D:	104.83	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.861889	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.383751	-38
D:	112.83	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.572929	77	0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	120.82	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	128.79	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	136.80	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	144.88	-55.555580	-70.686058	-65	4.273653	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	153.81	-55.555580	-70.686058	-65	4.273653	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	161.78	-55.555580	-70.686058	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.572929	77	-0.610590	-0.115063	0	-0.610590	-41.383751	-38
D:	169.87	-56.776524	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	177.81	-56.776524	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	185.84	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.861889	58	1.831532	83.572929	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	194.01	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	201.84	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	209.84	-55.555580	-70.686058	-65	4.273653	105.357903	97	-3.052473	-77.129494	-71	-0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	217.84	-56.776524	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	225.84	-56.776524	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	233.84	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	241.78	-55.555580	-70.686058	-65	3.052711	105.281189	97	-1.831532	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	249.82	-55.555580	-70.686058	-65	3.052711	105.281189	97	-4.273415	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	257.79	-55.555580	-70.686058	-65	3.052711	105.357903	97	-4.273415	-77.206200	-71	0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	265.80	-55.555580	-70.686058	-65	3.052711	105.281189	97	-4.273415	-77.206200	-71	-0.610590	62.861889	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	273.91	-56.776524	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	281.80	-56.776524	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	290.29	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	297.95	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	305.84	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	313.83	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	321.87	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	329.81	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	337.78	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	345.79	-56.776524	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.572929	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	353.92	-56.776524	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.572929	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	361.80	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	369.79	-55.555580	-70.609344	-65	3.052711	105.281189	97	-4.273415	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	378.05	-55.555580	-70.609344	-65	3.052711	105.281189	97	-4.273415	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	385.91	-56.776524	-70.686058	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	393.84	-54.334641	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	401.79	-54.334641	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	409.84	-55.555580	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	417.84	-55.555580	-70.609344	-65	1.831532	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	425.84	-55.555580	-70.609344	-65	1.831532	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	433.83	-56.776524	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	441.81	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	449.79	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	457.79	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	465.88	-56.776524	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.649651	77	0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	474.82	-56.776524	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.649651	77	0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	482.79	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.861889	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	490.87	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	498.80	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	506.84	-56.776524	-70.686058	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.572929	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	514.79	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	522.82	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	530.78	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	538.80	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.038359	0	-0.610590	-41.383751	-38
D:	546.91	-56.776524	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.282906	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	555.80	-56.776524	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.282906	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	563.78	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	572.00	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	579.82	-55.555580	-70.609344	-65	3.052711	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	587.84	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	0.610590	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	595.79	-55.555580	-70.686058	-65	4.273653	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	603.84	-55.555580	-70.686058	-65	4.273653	105.281189	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.572929	77	-0.610590	-0.038359	0	-0.610590	-41.460457	-38
D:	611.84	-55.555580	-70.609344	-65	1.831532	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	619.84	-55.555580	-70.686058	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	627.83	-55.555580	-70.686058	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
D:	635.80	-55.555580	-70.609344	-65	3.052711	105.357903	97	-3.052473	-77.129494	-71	-0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.038359	0	-1.831532	-41.460457	-38
D:	643.79	-55.555580	-70.686058	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	651.79	-55.555580	-70.686058	-65	3.052711	105.357903	97	-3.052473	-77.206200	-71	0.610590	62.938591	58	1.831532	83.649651	77	-0.610590	-0.115063	0	-1.831532	-41.460457	-38
D:	661.26	-55.555580	-70.686058	-65	4.273653	105.281189	97	-3.052473	-77.206200	-71	-0.610590	62.938591	58	0.610590	83.572929	77	-0.610590	-0.115063	0	-0.610590	-41.460457	-38
